EPOCH,N_EPOCH,TIME:,LR,BATCH_SIZE,N_PARAM,FRAME_LENGTH,BACKBONE,HIDDEN_SIZE,TRAIN_LOSS,VAL_LOSS,VAL_NMSE,VAL_EVM,VAL_ACLR_L,VAL_ACLR_R,VAL_ACLR_AVG,TEST_LOSS,TEST_NMSE,TEST_EVM,TEST_ACLR_L,TEST_ACLR_R,TEST_ACLR_AVG
88,100,19.41967773,0.00050000,256,2751,200,dgru,23,0.00068822,0.00063097,-29.871254,-31.47468696,-33.15485537,-32.29578530,-32.72532034,0.00070623,-29.826462,-31.53119799,-31.89549591,-30.73007710,-31.31278651
89,100,19.63294500,0.00050000,256,2751,200,dgru,23,0.00068269,0.00062735,-29.897055,-31.50098212,-33.12465390,-32.29371992,-32.70918691,0.00070062,-29.860825,-31.56733933,-31.85910605,-30.71577433,-31.28744019
90,100,19.85810121,0.00050000,256,2751,200,dgru,23,0.00067752,0.00062543,-29.909166,-31.50088975,-33.11920648,-32.24658968,-32.68289808,0.00069465,-29.898514,-31.59013587,-31.85976947,-30.65729559,-31.25853253
91,100,20.07130086,0.00050000,256,2751,200,dgru,23,0.00067097,0.00061270,-29.998442,-31.60003359,-33.18306598,-32.33687429,-32.75997013,0.00068005,-29.988867,-31.66350797,-31.86535658,-30.71493552,-31.29014605
92,100,20.28836228,0.00050000,256,2751,200,dgru,23,0.00066383,0.00061054,-30.01356,-31.61936167,-33.19550709,-32.33092780,-32.76321745,0.00067680,-30.011175,-31.68382166,-31.86614018,-30.70573626,-31.28593822
93,100,20.49749897,0.00050000,256,2751,200,dgru,23,0.00065587,0.00059980,-30.089157,-31.68936124,-33.08338779,-32.19122627,-32.63730703,0.00065750,-30.134665,-31.78385249,-31.78853786,-30.58997345,-31.18925566
94,100,20.71475945,0.00050000,256,2751,200,dgru,23,0.00064684,0.00059747,-30.111008,-31.73062833,-33.14949664,-32.23574192,-32.69261928,0.00065574,-30.149,-31.83541017,-31.82686677,-30.59973480,-31.21330078
95,100,20.92951880,0.00050000,256,2751,200,dgru,23,0.00063509,0.00058538,-30.198652,-31.83904803,-33.16593593,-32.26939974,-32.71766784,0.00063996,-30.253561,-31.91679046,-31.83615163,-30.61383553,-31.22499358
96,100,21.13361883,0.00050000,256,2751,200,dgru,23,0.00062307,0.00057340,-30.286795,-31.94150626,-33.13218271,-32.16378947,-32.64798609,0.00062243,-30.374588,-32.02501937,-31.80448788,-30.52270152,-31.16359470
97,100,21.33923753,0.00050000,256,2751,200,dgru,23,0.00060667,0.00055967,-30.394117,-32.09292802,-33.10243825,-32.09580219,-32.59912022,0.00060932,-30.468102,-32.13216461,-31.78943192,-30.45327989,-31.12135590
98,100,21.55076065,0.00050000,256,2751,200,dgru,23,0.00058585,0.00053925,-30.554815,-32.32275411,-33.09717548,-32.00297112,-32.55007330,0.00058714,-30.628729,-32.31993682,-31.77046978,-30.35855350,-31.06451164
99,100,21.76986506,0.00050000,256,2751,200,dgru,23,0.00056236,0.00051679,-30.740862,-32.60950138,-33.14285056,-31.88671903,-32.51478480,0.00056539,-30.796736,-32.53963331,-31.82122108,-30.25938654,-31.04030381
