EPOCH,N_EPOCH,TIME:,LR,BATCH_SIZE,N_PARAM,FRAME_LENGTH,BACKBONE,HIDDEN_SIZE,THX,THH,SP_T_DX,SP_T_DH,SP_T_DV,HW_PARAM,TRAIN_LOSS,VAL_LOSS,VAL_NMSE,VAL_EVM,VAL_ACLR_L,VAL_ACLR_R,VAL_ACLR_AVG,TEST_LOSS,TEST_NMSE,TEST_EVM,TEST_ACLR_L,TEST_ACLR_R,TEST_ACLR_AVG
40,100,23.07839438,0.00050000,256,3818,200,deltagru,15,0,0,0.00000000,0.00498467,0.00356048,1063.63534775,0.00043310,0.00039485,-29.906998,-31.93478760,-36.56976480,-35.31555978,-35.94266229,0.00046200,-29.692278,-31.92676039,-37.41135885,-35.59793613,-36.50464749
41,100,23.64265957,0.00050000,256,3818,200,deltagru,15,0,0,0.00000000,0.00498474,0.00356053,1063.63529869,0.00041993,0.00038216,-30.048883,-32.08667530,-36.72843742,-35.46773192,-36.09808467,0.00044869,-29.820648,-32.06871375,-37.56620008,-35.78351997,-36.67486003
42,100,24.21880685,0.00050000,256,3818,200,deltagru,15,0,0,0.00000000,0.00498466,0.00356047,1063.63535766,0.00040819,0.00037020,-30.187477,-32.22527267,-36.88019985,-35.62163323,-36.25091654,0.00043552,-29.950155,-32.21466910,-37.72955039,-35.96220228,-36.84587634
43,100,24.79607870,0.00050000,256,3818,200,deltagru,15,0,0,0.00000000,0.00498470,0.00356050,1063.63532817,0.00039705,0.00035907,-30.320053,-32.36371524,-37.03112159,-35.76920396,-36.40016277,0.00042384,-30.069181,-32.34823614,-37.85721525,-36.13852418,-36.99786972
44,100,25.41104755,0.00050000,256,3818,200,deltagru,15,0,0,0.00000000,0.00498477,0.00356055,1063.63527911,0.00038660,0.00034830,-30.452532,-32.51129929,-37.19935195,-35.91804819,-36.55870007,0.00041204,-30.192444,-32.49602301,-38.02095762,-36.29830489,-37.15963126
45,100,25.99667676,0.00050000,256,3818,200,deltagru,15,0,0,0.00000000,0.00498464,0.00356046,1063.63536756,0.00037659,0.00033834,-30.578783,-32.65206321,-37.35672332,-36.05868330,-36.70770331,0.00040119,-30.308779,-32.63364291,-38.17104120,-36.44378658,-37.30741389
46,100,26.55125413,0.00050000,256,3818,200,deltagru,15,0,0,0.00000000,0.00498455,0.00356040,1063.63542630,0.00036719,0.00032884,-30.702784,-32.78066470,-37.50946670,-36.19937338,-36.85442004,0.00039141,-30.416761,-32.75718955,-38.29853749,-36.61472094,-37.45662921
47,100,27.12170454,0.00050000,256,3818,200,deltagru,15,0,0,0.00000000,0.00498463,0.00356045,1063.63537724,0.00035873,0.00031997,-30.82193,-32.91410904,-37.67652843,-36.34012016,-37.00832430,0.00038157,-30.52778,-32.89314323,-38.44935452,-36.75086033,-37.60010742
48,100,27.68476846,0.00050000,256,3818,200,deltagru,15,0,0,0.00000000,0.00498467,0.00356048,1063.63534775,0.00035012,0.00031173,-30.935219,-33.03287803,-37.83307178,-36.46771578,-37.15039378,0.00037301,-30.627588,-33.00766557,-38.59036403,-36.90331944,-37.74684174
49,100,28.23686184,0.00050000,256,3818,200,deltagru,15,0,0,0.00000000,0.00498461,0.00356044,1063.63538714,0.00034275,0.00030389,-31.045858,-33.15565892,-37.97626153,-36.59456159,-37.28541156,0.00036428,-30.730585,-33.13107166,-38.72789104,-37.02863228,-37.87826166
50,100,28.82774810,0.00050000,256,3818,200,deltagru,15,0,0,0.00000000,0.00498468,0.00356049,1063.63533807,0.00033484,0.00029660,-31.151503,-33.26792674,-38.12892549,-36.72940090,-37.42916319,0.00035657,-30.824804,-33.24210529,-38.85754156,-37.17520071,-38.01637113
51,100,29.40388358,0.00050000,256,3818,200,deltagru,15,0,0,0.00000000,0.00498463,0.00356045,1063.63537724,0.00032785,0.00028965,-31.254745,-33.38069662,-38.27356901,-36.84563190,-37.55960045,0.00034917,-30.916143,-33.34867341,-38.99484227,-37.29559350,-38.14521788
